cluster	gene	symbol
6	ENSMUSG00000032548	Slco2a1
6	ENSMUSG00000032911	Cspg4
6	ENSMUSG00000033039	Micall1
6	ENSMUSG00000033396	Spg11
6	ENSMUSG00000033792	Atp7a
6	ENSMUSG00000033902	Mapkbp1
6	ENSMUSG00000033981	Gria2
6	ENSMUSG00000034055	Phka1
6	ENSMUSG00000034126	Pomt2
6	ENSMUSG00000034354	Mtmr3
6	ENSMUSG00000034525	Ice1
6	ENSMUSG00000034573	Ptpn13
6	ENSMUSG00000034684	Sema3f
6	ENSMUSG00000035164	Zc3h12c
6	ENSMUSG00000035969	Rusc2
6	ENSMUSG00000036298	Slc2a13
6	ENSMUSG00000036529	Sbf1
6	ENSMUSG00000036553	Sh3tc1
6	ENSMUSG00000036568	Gltscr1l
6	ENSMUSG00000036826	Igflr1
6	ENSMUSG00000037110	Ralgapa2
6	ENSMUSG00000037415	Ranbp10
6	ENSMUSG00000037486	Asxl2
6	ENSMUSG00000038077	Kcna6
6	ENSMUSG00000038637	Lrrc56
6	ENSMUSG00000038766	Gabpb2
6	ENSMUSG00000038970	Lmtk2
6	ENSMUSG00000039414	Heatr5b
6	ENSMUSG00000039473	Ubn1
6	ENSMUSG00000039512	Uhrf1bp1
6	ENSMUSG00000039523	Cep104
6	ENSMUSG00000039620	6430573F11Rik
6	ENSMUSG00000039662	Icmt
6	ENSMUSG00000039959	Hip1
6	ENSMUSG00000040102	Klhl42
6	ENSMUSG00000040152	Thbs1
6	ENSMUSG00000040329	Il7
6	ENSMUSG00000040433	Zbtb38
6	ENSMUSG00000040506	Ambra1
6	ENSMUSG00000040543	Pitpnm3
6	ENSMUSG00000040648	Ppip5k2
6	ENSMUSG00000040697	Dnajc16
6	ENSMUSG00000040829	Zmynd15
6	ENSMUSG00000041037	Irgq
6	ENSMUSG00000041229	Phf8
6	ENSMUSG00000041341	Atg2b
6	ENSMUSG00000041479	Syt15
6	ENSMUSG00000041528	Rnf123
6	ENSMUSG00000041828	Abca8a
6	ENSMUSG00000041949	Tango6
6	ENSMUSG00000042029	Ncapg2
6	ENSMUSG00000042129	Rassf4
6	ENSMUSG00000043940	Wdfy3
6	ENSMUSG00000044139	Prss53
6	ENSMUSG00000044447	Dock5
6	ENSMUSG00000045790	Ccdc149
6	ENSMUSG00000046380	Jrk
6	ENSMUSG00000047036	Zfp445
6	ENSMUSG00000047040	Prr15l
6	ENSMUSG00000047419	Cmya5
6	ENSMUSG00000047746	Fbxo40
6	ENSMUSG00000049739	Zfp646
6	ENSMUSG00000049985	Ankrd55
6	ENSMUSG00000051067	Lingo3
6	ENSMUSG00000051339	2900026A02Rik
6	ENSMUSG00000052934	Fbxo31
6	ENSMUSG00000053469	Tg
6	ENSMUSG00000053646	Plxnb1
6	ENSMUSG00000054293	A630033H20Rik
6	ENSMUSG00000054648	Zfp869
6	ENSMUSG00000055301	Adh7
6	ENSMUSG00000058230	Arhgap35
6	ENSMUSG00000058325	Dock1
6	ENSMUSG00000058498	Rnf207
6	ENSMUSG00000068299	1700019G17Rik
6	ENSMUSG00000070733	Fryl
6	ENSMUSG00000070738	Dgkd
6	ENSMUSG00000071856	Mcc
6	ENSMUSG00000073490	AI607873
6	ENSMUSG00000078651	Aoc2
6	ENSMUSG00000084350	Znf41-ps
6	ENSMUSG00000093909	Gm3883
6	ENSMUSG00000096544	Gm4617
6	ENSMUSG00000098754	Gm28045
6	ENSMUSG00000101439	Gm336
6	ENSMUSG00000102697	PCDHA9
6	ENSMUSG00000102752	Gm7694
6	ENSMUSG00000103897	PCDHGB6
6	ENSMUSG00000104346	PCDHGB6
7	ENSMUSG00000001604	Tcea3
7	ENSMUSG00000001865	Cpa3
7	ENSMUSG00000010064	Slc38a3
7	ENSMUSG00000015396	Cd83
7	ENSMUSG00000016756	Cmah
7	ENSMUSG00000019761	Krt10
7	ENSMUSG00000020137	Thap2
7	ENSMUSG00000022546	Gpt
7	ENSMUSG00000024011	Pi16
7	ENSMUSG00000024234	Mtpap
7	ENSMUSG00000024672	Ms4a7
7	ENSMUSG00000025270	Alas2
7	ENSMUSG00000026090	2010300C02Rik
7	ENSMUSG00000026430	Rassf5
7	ENSMUSG00000027380	Acoxl
7	ENSMUSG00000029086	Prom1
7	ENSMUSG00000031808	Slc27a1
7	ENSMUSG00000034607	Pof1b
7	ENSMUSG00000037443	Cep85
7	ENSMUSG00000038763	Alpk3
7	ENSMUSG00000040229	Gpr34
7	ENSMUSG00000041920	Slc16a6
7	ENSMUSG00000043008	Klhl6
7	ENSMUSG00000043795	Prr33
7	ENSMUSG00000046731	Kctd11
7	ENSMUSG00000051351	Zfp46
7	ENSMUSG00000052305	Hbb-bs
7	ENSMUSG00000061397	Krt79
7	ENSMUSG00000062345	Serpinb2
7	ENSMUSG00000067786	Nnat
7	ENSMUSG00000069917	Hba-a2
7	ENSMUSG00000069919	Hba-a1
7	ENSMUSG00000072692	Rpl37rt
7	ENSMUSG00000073877	Gm13306
7	ENSMUSG00000073940	Hbb-bt
7	ENSMUSG00000079013	Serpina3j
7	ENSMUSG00000079355	Ackr4
7	ENSMUSG00000079465	Col4a3
7	ENSMUSG00000098934	Gm18853
7	ENSMUSG00000101939	Gm28438
8	ENSMUSG00000000296	Tpd52l1
8	ENSMUSG00000001020	S100a4
8	ENSMUSG00000002055	Spag5
8	ENSMUSG00000002778	Kdelr1
8	ENSMUSG00000004945	Tmem242
8	ENSMUSG00000005410	Mcm5
8	ENSMUSG00000006777	Krt23
8	ENSMUSG00000010342	Tex14
8	ENSMUSG00000015354	Pcolce2
8	ENSMUSG00000017491	Rarb
8	ENSMUSG00000019942	Cdk1
8	ENSMUSG00000020330	Hmmr
8	ENSMUSG00000020407	Upp1
8	ENSMUSG00000021569	Trip13
8	ENSMUSG00000021732	Fgf10
8	ENSMUSG00000022033	Pbk
8	ENSMUSG00000023945	Slc5a7
8	ENSMUSG00000024987	Cyp26a1
8	ENSMUSG00000025001	Hells
8	ENSMUSG00000025747	Tyms
8	ENSMUSG00000026278	Bok
8	ENSMUSG00000026574	Dpt
8	ENSMUSG00000026697	Myoc
8	ENSMUSG00000026725	Tnn
8	ENSMUSG00000026840	Lamc3
8	ENSMUSG00000027524	Edn3
8	ENSMUSG00000027715	Ccna2
8	ENSMUSG00000027864	Ptgfrn
8	ENSMUSG00000028644	Ermap
8	ENSMUSG00000029306	Ibsp
8	ENSMUSG00000030017	Reg3g
8	ENSMUSG00000031613	Hpgd
8	ENSMUSG00000031821	Gins2
8	ENSMUSG00000032254	Kif23
8	ENSMUSG00000035199	Arl6ip5
8	ENSMUSG00000038020	Rapgefl1
8	ENSMUSG00000039323	Igfbp2
8	ENSMUSG00000039697	Ncoa7
8	ENSMUSG00000041193	Pla2g5
8	ENSMUSG00000041431	Ccnb1
8	ENSMUSG00000043613	Mmp3
8	ENSMUSG00000044201	Cdc25c
8	ENSMUSG00000049866	Arl4c
8	ENSMUSG00000050069	Grem2
8	ENSMUSG00000051159	Cited1
8	ENSMUSG00000051378	Kif18b
8	ENSMUSG00000052276	Ostn
8	ENSMUSG00000056643	Chst13
8	ENSMUSG00000057691	Zfp746
8	ENSMUSG00000063063	Ctnna2
8	ENSMUSG00000073125	Xlr3b
8	ENSMUSG00000094651	Gal3st2
9	ENSMUSG00000000889	Dbh
9	ENSMUSG00000001027	Scn4a
9	ENSMUSG00000003283	Hck
9	ENSMUSG00000004098	Col5a3
9	ENSMUSG00000009216	Fam163b
9	ENSMUSG00000015709	Arnt2
9	ENSMUSG00000018927	Ccl6
9	ENSMUSG00000019464	Ptger1
9	ENSMUSG00000019731	Slc35e1
9	ENSMUSG00000020357	Flt4
9	ENSMUSG00000020399	Havcr2
9	ENSMUSG00000021750	Fam107a
9	ENSMUSG00000022129	Dct
9	ENSMUSG00000022148	Fyb
9	ENSMUSG00000022376	Adcy8
9	ENSMUSG00000024163	Mapk8ip3
9	ENSMUSG00000024228	Nudt12
9	ENSMUSG00000024924	Vldlr
9	ENSMUSG00000025359	Pmel
9	ENSMUSG00000026944	Abca2
9	ENSMUSG00000029298	Gbp9
9	ENSMUSG00000029419	Gm996
9	ENSMUSG00000029577	Ube3b
9	ENSMUSG00000030579	Tyrobp
9	ENSMUSG00000030739	Myh14
9	ENSMUSG00000032172	Olfm2
9	ENSMUSG00000032356	Rasgrf1
9	ENSMUSG00000032373	Car12
9	ENSMUSG00000033209	Ttc28
9	ENSMUSG00000033715	Akr1c14
9	ENSMUSG00000034235	Usp54
9	ENSMUSG00000034303	Ccdc15
9	ENSMUSG00000034825	Nrip3
9	ENSMUSG00000034832	Tet3
9	ENSMUSG00000035403	Crb2
9	ENSMUSG00000036040	Adamtsl2
9	ENSMUSG00000036281	Snapc4
9	ENSMUSG00000036523	Greb1
9	ENSMUSG00000037138	Aff3
9	ENSMUSG00000037490	Slc2a12
9	ENSMUSG00000037816	Fbxw17
9	ENSMUSG00000038024	Dennd4c
9	ENSMUSG00000038522	AI317395
9	ENSMUSG00000038663	Fsd2
9	ENSMUSG00000038670	Mybpc2
9	ENSMUSG00000040054	Baz2a
9	ENSMUSG00000041797	Abca9
9	ENSMUSG00000042453	Reln
9	ENSMUSG00000047502	Mroh7
9	ENSMUSG00000048899	Rimkla
9	ENSMUSG00000050271	D8Ertd82e
9	ENSMUSG00000051910	Sox6
9	ENSMUSG00000052572	Dlg2
9	ENSMUSG00000054008	Ndst1
9	ENSMUSG00000054641	Mmrn1
9	ENSMUSG00000054659	Pm20d2
9	ENSMUSG00000060012	Kif13b
9	ENSMUSG00000061578	Ksr2
9	ENSMUSG00000074283	Zfp109
9	ENSMUSG00000074505	Fat3
9	ENSMUSG00000090559	Gm17137
9	ENSMUSG00000094065	Gm21541
9	ENSMUSG00000104063	Pcdhgb7
10	ENSMUSG00000005237	Dnah2
10	ENSMUSG00000020402	Vdac1
10	ENSMUSG00000021457	Syk
10	ENSMUSG00000028893	Sesn2
10	ENSMUSG00000030732	Chrdl2
10	ENSMUSG00000032500	Dclk3
10	ENSMUSG00000036381	P2ry14
10	ENSMUSG00000036896	C1qc
10	ENSMUSG00000036905	C1qb
10	ENSMUSG00000038332	Sesn1
10	ENSMUSG00000042595	Fam199x
10	ENSMUSG00000042873	Lhfpl4
10	ENSMUSG00000059436	Max
10	ENSMUSG00000073791	Efcab7
11	ENSMUSG00000004371	Il11
11	ENSMUSG00000017737	Mmp9
11	ENSMUSG00000020220	Vps13d
11	ENSMUSG00000021051	Ppp2r5e
11	ENSMUSG00000022508	Bcl6
11	ENSMUSG00000024735	Prpf19
11	ENSMUSG00000024803	Ankrd1
11	ENSMUSG00000025185	Loxl4
11	ENSMUSG00000025510	Cd151
11	ENSMUSG00000030518	Fam189a1
11	ENSMUSG00000036067	Slc2a6
11	ENSMUSG00000039179	Tekt5
11	ENSMUSG00000045382	Cxcr4
11	ENSMUSG00000045573	Penk
11	ENSMUSG00000046808	Atp10d
11	ENSMUSG00000049892	Rasd1
11	ENSMUSG00000050243	Gm5446
11	ENSMUSG00000050578	Mmp13
11	ENSMUSG00000050711	Scg2
11	ENSMUSG00000052139	Bre
11	ENSMUSG00000058064	Gm10036
11	ENSMUSG00000059237	Ppp1r2-ps4
11	ENSMUSG00000070713	Gm10282
11	ENSMUSG00000086605	Gm14290
11	ENSMUSG00000094800	Gm9780
11	ENSMUSG00000100622	RP24-447G12.2
